repo_url,default_score,depsdev_dependent_count,legacy_closed_issues_count,legacy_commit_frequency,legacy_contributor_count,legacy_created_since,legacy_github_mention_count,legacy_issue_comment_frequency,legacy_org_count,legacy_recent_release_count,legacy_updated_issues_count,legacy_updated_since,repo_created_at,repo_language,repo_license,repo_star_count,repo_updated_at
https://github.com/AcademySoftwareFoundation/openexr,0.64295,,1367,3.52,126,255,782,2.16,5,10,1509,0,2003-01-21T06:34:28Z,C,"BSD 3-Clause ""New"" or ""Revised"" License",1541,2024-01-22T00:45:40Z
https://github.com/pcmacdon/jsish,0.27869,,76,0,1,92,0,1.48,0,0,94,17,2016-07-08T13:28:40Z,C,MIT License,37,2022-08-23T14:47:10Z
https://github.com/radareorg/radare2,0.69848,,12818,34.15,1098,182,219,1.99,5,3,13682,0,2009-02-05T21:08:46Z,C,GNU Lesser General Public License v3.0,19190,2024-01-30T10:08:24Z
https://github.com/radareorg/radare2,0.69848,,12818,34.15,1098,182,219,1.99,5,3,13682,0,2009-02-05T21:08:46Z,C,GNU Lesser General Public License v3.0,19190,2024-01-30T10:08:24Z
https://github.com/redis/redis,0.80262,,7194,9.15,780,180,29002,3.3,9,22,9100,0,2009-03-21T22:32:25Z,C,"BSD 3-Clause ""New"" or ""Revised"" License",63216,2024-01-30T18:32:58Z
https://github.com/rizinorg/rizin,0.6743,,3699,11.88,1022,182,71,2.01,5,7,4116,0,2009-02-05T21:08:46Z,C,GNU Lesser General Public License v3.0,2301,2024-01-30T14:36:39Z
https://github.com/saitoha/libsixel,0.49916,,82,0,16,127,261,1.87,3,8,126,49,2013-08-20T15:52:45Z,C,MIT License,2344,2020-01-13T17:27:00Z
https://github.com/Samsung/mTower,0.32873,,111,0.31,6,59,0,0.5,1,1,130,1,2019-03-12T06:19:43Z,C,Other,45,2023-12-06T08:55:36Z
https://github.com/squid-cache/squid,0.68622,,1421,5.38,255,340,2158,3.43,4,13,1525,0,1996-02-22T13:23:53Z,C++,GNU General Public License v2.0,1854,2024-01-30T18:20:54Z
https://github.com/strukturag/libde265,0.53834,,226,1.42,26,126,351,1.67,3,5,297,0,2013-08-26T16:35:37Z,C++,Other,1611,2024-01-18T07:25:26Z
https://github.com/the-tcpdump-group/tcpdump,0.625,,422,6.02,211,296,800,4.26,3,1,514,0,1999-10-07T23:47:09Z,C,Other,2464,2024-01-28T16:58:38Z
https://github.com/torvalds/linux,0.91331,,165,1661.85,5000,151,75534609,2.34,10,66,420,0,2011-09-04T22:45:10Z,C,Other,164926,2024-01-30T02:45:54Z
https://github.com/tuxera/ntfs-3g,0.53374,,54,0.12,31,261,543,2.69,3,5,99,7,2002-08-22T14:28:33Z,C,GNU General Public License v2.0,785,2023-06-13T14:47:15Z
https://github.com/uclouvain/openjpeg,0.60515,1,337,0.75,86,245,3380,1.73,6,1,502,0,2003-11-27T10:07:24Z,C,Other,924,2024-01-13T11:48:18Z
https://github.com/upx/upx,0.62308,,604,6.56,21,288,4265,5.46,3,4,632,0,2000-05-19T16:04:55Z,C++,Other,12891,2024-01-27T22:16:53Z
https://github.com/wolfSSL/wolfssl,0.70004,,5732,48.79,157,158,12384,1.36,3,5,5859,0,2011-02-05T19:14:47Z,C,GNU General Public License v2.0,2106,2024-01-30T13:46:57Z
